Comedy,110101975,Bedtime Stories,25/12/2008,Adam Sandler
Comedy,120146040,Ni en tu casa ni en la mía,26/11/2008,Reese Witherspoon
Action,38577772,Surrogates,25/09/2009,Bruce Willis
Drama,19664021,Nine,25/12/2009,Daniel Day-Lewis
Mystery,128012934,Shutter Island,19/02/2010,Leonardo DiCaprio
Action,94835059,The Book of Eli,15/01/2010,Denzel Washington
Comedy,162001186,Grown Ups,25/06/2010,Adam Sandler
Action,103068524,The Expendables,13/08/2010,Sylvester Stallone
Crime,43313890,Edge of Darkness,29/01/2010,Mel Gibson
Animation,55675313,Legend of the Guardians: The Owls of Ga'Hoole,24/09/2010,Jim Sturgess
Animation,100246011,Yogi Bear,17/12/2010,Dan Aykroyd
Comedy,103028109,Just Go with It,11/02/2011,Adam Sandler
Comedy,254464305,The Hangover Part II,26/05/2011,Bradley Cooper
Comedy,80360843,Zookeeper,08/07/2011,Kevin James
Comedy,133668525,Grown Ups 2,12/07/2013,Adam Sandler
Action,23219748,Pompeya,21/02/2014,Kit Harington
Animation,169700110,Hotel Transylvania 2,25/09/2015,Adam Sandler
Action,27550735,The Finest Hours,29/01/2016,Chris Pine
Adventure,52287414,Stand by Me,22/08/1986,Wil Wheaton
Action,11834302,Firewalker,21/11/1986,Chuck Norris
Comedy,1988962,Date with an Angel,20/11/1987,Phoebe Cates
Comedy,22433275,License to Drive,06/07/1988,Corey Haim
Drama,784990,The Boost,23/12/1988,James Woods
Drama,1893139,Permanent Record,22/04/1988,Alan Boyce
Comedy,35150960,Fletch Lives,17/03/1989,Chevy Chase
Action,8143225,DeepStar Six,13/01/1989,Greg Evigan
Action,16093651,No Holds Barred,02/06/1989,Hulk Hogan
Action,2275557,Showdown in Little Tokyo,23/08/1991,Dolph Lundgren
Mystery,19018321,Mortal Thoughts,19/04/1991,Demi Moore
Comedy,10438504,A Rage in Harlem,03/05/1991,Forest Whitaker
Fantasy,17092453,Pet Sematary II,28/08/1992,Edward Furlong
Comedy,21706100,The Player,08/05/1992,Tim Robbins
Action,6739141,Fortress,03/09/1993,Christopher Lambert
Crime,2502551,Red Rock West,14/05/1993,Nicolas Cage
Comedy,1710000,Even Cowgirls Get the Blues,20/05/1994,Uma Thurman
Drama,1299318,King of the Hill,20/08/1993,Jesse Bradford
Drama,874148,Mother's Boys,18/03/1994,Jamie Lee Curtis
Crime,107928762,Pulp Fiction,14/10/1994,John Travolta
Fantasy,18090181,New Nightmare,14/10/1994,Heather Langenkamp
Fantasy,8946600,In the Mouth of Madness,03/02/1995,Sam Neill
Comedy,4350774,PCU,29/04/1994,Jeremy Piven
Action,16115878,The Prophecy,01/09/1995,Christopher Walken
Biography,339889,Total Eclipse,03/11/1995,Leonardo DiCaprio
Comedy,2763020,Dr. Jekyll and Ms. Hyde,25/08/1995,Sean Young
Drama,493007,The Grass Harp,11/10/1996,Piper Laurie
Drama,3594848,The Trigger Effect,30/08/1996,Kyle MacLachlan
Comedy,34746109,A Thin Line Between Love and Hate,03/04/1996,Martin Lawrence
Comedy,5612586,The Pallbearer,03/05/1996,David Schwimmer
Crimey,1056102,Wonderland,24/10/2003,James Cox
